passenger_count,trip_distance,trip_duration_minutes,pickup_hour,pickup_dayofweek,PULocationID,DOLocationID,high_revenue_trip
1,3.7,17.15,0,5,140,202,0
1,1.03,6.716666666666667,0,5,234,161,0
1,1.57,7.95,0,5,161,234,0
1,9.48,25.333333333333332,0,5,138,90,1
1,1.8,7.633333333333334,0,5,90,231,0
1,5.11,12.666666666666666,0,5,138,226,1
2,0.99,5.533333333333333,23,4,234,79,0
1,0.47,2.966666666666667,0,5,114,144,0
1,1.33,6.8,0,5,158,125,0
1,4.71,13.266666666666667,0,5,87,148,1
1,0.93,4.316666666666666,0,5,162,107,0
2,0.6,4.2,0,5,249,113,0
2,1.1,4.333333333333333,0,5,43,143,0
1,2.31,10.516666666666667,0,5,263,170,0
1,2.25,9.6,0,5,144,170,0
1,1.4,9.116666666666667,0,5,113,264,0
1,0.52,4.983333333333333,0,5,140,141,0
1,4.11,21.25,0,5,234,255,0
1,1.9,9.083333333333334,0,5,142,238,0
1,0.5,2.2,0,5,142,230,0
1,1.6,5.933333333333334,0,5,142,162,0
1,6.0,25.416666666666668,0,5,230,223,1
2,5.76,21.15,0,5,238,226,1
2,13.37,39.93333333333333,0,5,170,10,1
1,0.5,2.15,0,5,263,237,0
1,1.4,4.916666666666667,0,5,237,162,0
1,1.9,3.5833333333333335,0,5,137,232,0
1,0.6,2.4833333333333334,0,5,170,162,0
3,2.84,11.35,0,5,249,48,0
1,0.88,3.2666666666666666,0,5,68,249,0
1,1.94,11.316666666666666,0,5,211,261,0
1,10.3,27.933333333333334,0,5,140,62,1
1,1.56,6.95,0,5,236,163,0
1,1.46,6.3,0,5,263,229,0
1,0.44,2.2666666666666666,0,5,233,170,0
4,2.81,16.116666666666667,0,5,249,48,0
1,1.36,9.316666666666666,0,5,229,230,0
1,4.9,18.566666666666666,0,5,144,263,1
2,1.45,6.45,0,5,234,113,0
2,12.77,25.8,0,5,138,88,1
1,2.18,9.366666666666667,0,5,230,239,0
1,2.18,9.366666666666667,0,5,230,239,0
1,1.04,6.95,0,5,162,163,0
1,0.78,4.716666666666667,0,5,163,48,0
3,9.53,17.25,0,5,138,17,1
1,1.89,12.083333333333334,0,5,68,50,0
1,1.0,7.583333333333333,0,5,230,48,0
1,1.2,7.666666666666667,0,5,144,211,0
1,3.72,14.716666666666667,0,5,234,75,0
1,3.72,14.716666666666667,0,5,234,236,0
1,16.51,34.266666666666666,0,5,132,132,1
1,1.9,8.8,0,5,230,239,0
1,6.43,27.5,0,5,164,152,1
1,1.73,12.916666666666666,0,5,237,141,0
2,2.1,7.133333333333334,0,5,237,163,0
2,1.6,7.283333333333333,0,5,230,162,0
1,5.58,17.283333333333335,0,5,141,211,1
1,2.3,10.266666666666667,0,5,161,113,0
1,2.1,13.116666666666667,0,5,68,162,0
1,2.8,11.133333333333333,0,5,141,90,0
1,3.15,19.816666666666666,0,5,249,50,0
1,1.1,6.7,0,5,100,230,0
1,1.29,5.1,0,5,186,249,0
1,6.7,9.183333333333334,0,5,138,80,1
1,2.05,6.983333333333333,0,5,79,162,0
1,12.21,40.81666666666667,0,5,234,14,1
1,14.4,29.316666666666666,0,5,79,200,1
1,4.0,18.933333333333334,0,5,148,40,1
1,2.68,11.333333333333334,0,5,48,114,0
2,2.44,11.25,0,5,233,143,0
1,1.39,5.133333333333334,0,5,43,162,0
1,1.7,9.15,0,5,68,230,0
1,1.6,7.5,0,5,162,234,0
1,3.21,16.383333333333333,0,5,186,141,0
1,2.67,9.85,0,5,162,262,0
1,0.81,3.283333333333333,0,5,249,90,0
2,3.67,11.816666666666666,0,5,249,141,0
2,2.36,12.316666666666666,0,5,141,186,0
2,1.87,6.066666666666666,0,5,114,170,0
1,1.8,10.616666666666667,0,5,163,234,0
1,1.65,8.516666666666667,0,5,140,233,0
1,3.78,8.816666666666666,0,5,87,137,0
1,10.26,17.9,0,5,138,162,1
1,2.36,10.033333333333333,0,5,90,163,0
1,0.46,3.7,0,5,79,114,0
1,2.67,9.7,0,5,97,148,0
3,2.5,10.85,0,5,246,161,0
1,0.87,6.633333333333334,23,4,237,236,0
1,1.57,8.866666666666667,0,5,237,161,0
1,2.57,14.016666666666667,0,5,162,239,0
1,4.37,20.716666666666665,0,5,163,197,0
2,9.54,24.183333333333334,0,5,87,24,1
1,3.06,16.866666666666667,0,5,142,75,0
1,4.42,17.833333333333332,0,5,142,7,1
1,1.6,9.85,0,5,114,164,0
1,11.37,25.0,0,5,68,220,1
1,1.0,7.816666666666666,0,5,231,148,0
1,0.68,5.083333333333333,0,5,148,45,0
1,0.96,5.533333333333333,0,5,144,249,0
1,4.96,19.766666666666666,0,5,249,239,1
1,2.06,8.783333333333333,0,5,162,79,0
1,4.48,18.383333333333333,0,5,249,238,1
1,20.6,40.016666666666666,0,5,132,243,1
2,1.46,5.833333333333333,0,5,229,164,0
1,1.52,7.583333333333333,0,5,230,143,0
1,1.9,8.15,0,5,68,161,0
1,1.15,5.7,0,5,230,68,0
3,1.1,5.8,0,5,230,50,0
1,0.71,4.966666666666667,0,5,170,137,0
1,0.66,4.233333333333333,0,5,79,7,0
1,1.61,8.55,0,5,107,231,0
1,1.1,8.633333333333333,0,5,234,137,0
2,8.3,38.11666666666667,0,5,230,189,1
1,4.21,13.216666666666667,0,5,162,88,0
1,2.44,11.5,0,5,249,261,0
1,1.61,9.083333333333334,0,5,125,79,0
1,2.1,11.616666666666667,0,5,230,239,0
1,2.34,14.55,0,5,140,48,0
1,1.33,3.9,0,5,114,100,0
2,4.53,13.716666666666667,0,5,132,197,1
1,2.38,10.3,0,5,162,263,0
1,1.14,5.35,0,5,144,231,0
1,4.48,19.216666666666665,0,5,79,263,1
4,0.59,4.083333333333333,0,5,264,148,0
1,1.42,10.583333333333334,0,5,148,33,0
1,1.5,7.016666666666667,0,5,113,170,0
1,1.7,11.233333333333333,0,5,161,143,0
1,9.61,33.05,0,5,234,89,1
1,2.1,8.9,0,5,164,237,0
1,3.4,14.583333333333334,0,5,79,163,0
1,0.58,2.783333333333333,0,5,238,151,0
1,1.2,6.25,0,5,164,68,0
1,3.5,15.8,0,5,230,144,0
1,2.24,11.016666666666667,0,5,162,246,0
1,5.49,21.583333333333332,0,5,90,112,1
1,0.85,4.95,0,5,230,50,0
1,2.0,7.616666666666666,0,5,249,261,0
2,1.9,10.8,0,5,148,87,0
1,1.71,11.5,0,5,158,211,0
1,2.6,12.466666666666667,0,5,239,41,0
2,9.18,37.18333333333333,0,5,132,122,1
1,2.18,9.75,0,5,249,246,0
2,2.3,7.05,0,5,142,41,0
1,1.1,5.733333333333333,0,5,163,164,0
1,4.25,10.033333333333333,0,5,88,79,0
1,10.11,20.233333333333334,0,5,48,47,1
1,1.4,5.666666666666667,0,5,186,249,0
1,2.5,10.25,0,5,249,162,0
1,2.16,10.083333333333334,0,5,237,239,0
1,9.25,37.38333333333333,0,5,158,14,1
1,0.91,6.033333333333333,0,5,161,50,0
1,8.32,29.15,0,5,114,102,1
1,9.64,23.0,0,5,138,239,1
1,2.01,10.416666666666666,0,5,90,79,0
1,4.01,13.1,23,4,79,263,0
1,2.5,11.466666666666667,0,5,79,246,0
1,1.58,11.283333333333333,0,5,239,236,0
1,0.74,4.533333333333333,0,5,263,140,0
2,1.39,7.5,0,5,234,79,0
1,0.46,4.483333333333333,0,5,79,79,0
1,1.5,8.333333333333334,0,5,162,68,0
1,2.2,10.483333333333333,0,5,164,229,0
1,7.2,17.083333333333332,0,5,138,134,1
3,1.59,6.933333333333334,0,5,48,246,0
1,5.63,28.383333333333333,0,5,237,231,1
1,6.7,27.883333333333333,0,5,211,145,1
1,0.6,1.7166666666666666,0,5,140,262,0
4,18.2,37.46666666666667,0,5,132,100,1
1,1.39,6.783333333333333,0,5,162,142,0
1,0.23,1.8333333333333333,0,5,142,163,0
1,0.88,7.033333333333333,0,5,161,186,0
1,3.09,10.633333333333333,0,5,162,158,0
1,3.82,15.95,0,5,113,143,1
1,1.6,7.366666666666666,0,5,113,186,0
1,0.71,3.9,0,5,234,79,0
1,2.77,14.533333333333333,0,5,114,50,0
1,0.66,3.783333333333333,0,5,211,148,0
1,1.28,4.316666666666666,0,5,79,170,0
1,22.84,40.916666666666664,0,5,132,13,1
1,7.2,11.75,0,5,48,244,1
1,3.29,9.55,0,5,244,243,0
1,4.53,22.866666666666667,0,5,151,137,1
1,2.8,11.983333333333333,0,5,107,142,0
1,4.43,18.816666666666666,0,5,141,223,0
1,2.05,8.683333333333334,0,5,114,164,0
1,8.65,21.4,0,5,234,160,1
1,3.54,9.033333333333333,0,5,140,79,0
1,2.4,13.283333333333333,0,5,161,249,0
1,1.04,7.233333333333333,0,5,234,233,0
1,7.63,22.05,0,5,249,74,1
1,1.62,8.8,0,5,88,231,0
1,2.09,8.016666666666667,0,5,148,164,0
1,6.9,22.05,0,5,162,167,1
1,1.1,6.733333333333333,0,5,144,125,0
1,3.54,7.166666666666667,23,4,138,223,1
1,0.88,3.816666666666667,0,5,148,79,0
1,1.25,9.383333333333333,0,5,186,230,0
1,1.08,5.416666666666667,0,5,142,143,0
3,0.96,4.15,0,5,137,224,0
1,3.45,21.933333333333334,0,5,79,48,1
1,2.39,12.05,0,5,68,144,0
1,0.8,5.266666666666667,0,5,161,164,0
1,1.87,10.783333333333333,0,5,164,158,0
1,2.53,7.3,0,5,141,79,0
2,2.54,7.983333333333333,0,5,79,162,0
1,10.01,20.216666666666665,0,5,138,238,1
1,7.7,30.583333333333332,0,5,87,37,1
2,4.2,18.216666666666665,0,5,237,166,0
4,1.34,8.75,0,5,164,230,0
1,2.01,7.783333333333333,0,5,186,50,0
2,2.35,10.25,0,5,162,239,0
3,0.78,3.35,0,5,234,164,0
1,1.18,5.6,0,5,68,90,0
1,8.16,21.133333333333333,0,5,68,244,1
1,2.26,8.2,0,5,140,137,0
2,1.16,7.783333333333333,0,5,79,45,0
2,2.0,14.733333333333333,0,5,148,113,0
1,15.01,27.683333333333334,0,5,132,89,1
1,1.53,5.25,0,5,162,107,0
4,0.71,6.05,0,5,170,233,0
1,2.07,10.4,0,5,163,262,0
1,1.02,6.5,0,5,263,75,0
1,0.72,3.466666666666667,0,5,162,237,0
1,1.8,6.283333333333333,0,5,162,236,0
1,4.7,20.116666666666667,0,5,237,255,1
2,3.7,14.766666666666667,0,5,161,261,0
1,6.4,17.65,0,5,100,41,1
1,3.59,9.266666666666667,0,5,79,140,0
